"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4,C6,C8","4","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2,C3","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5","1","100nF 50V","","","","Capacitor_SMD:C_0805_2012Metric",""
"C7","1","100uF 35V","","","","Capacitor_SMD:CP_Elec_6.3x7.7",""
"D1","1","POWER","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D2","1","STATUS","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D3","1","SS14","","","","Diode_SMD:D_SMA","http://www.vishay.com/docs/88525/1n5817.pdf"
"F1","1","Fuse","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J2","1","Motor","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"J3","1","J_Expansion","","","","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical",""
"J4","1","I/O","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J5","1","Sensor IDC","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"J6","1","Interface IDC","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"J7","1","Fan","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J8","1","E_STOP","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J9","1","24V IN","","","","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal",""
"J10","1","BYP_2","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"JP1","1","BYP_1","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Q1","1","SS8550","","","","Package_TO_SOT_SMD:SOT-23","http://www.secosgmbh.com/datasheet/products/SSMPTransistor/SOT-23/SS8550.pdf"
"R1,R2","2","100","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","18k","","","","Resistor_SMD:R_0805_2012Metric",""
"R4","1","7.5k","","","","Resistor_SMD:R_0805_2012Metric",""
"R5","1","470","","","","Resistor_SMD:R_0805_2012Metric",""
"R6,R7","2","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R8,R9,R10,R13","4","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R11,R12","2","4.7k, DNP","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1","1","RESET","","","","Button_Switch_SMD:SW_SPST_CK_RS282G05A3",""
"TP1","1","STEP","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP2","1","HX_DT","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP3","1","HX_SCK","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP4","1","SDA","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP5","1","SCL","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP6","1","VMOT","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP7","1","M24V","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP8","1","3V3","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP9","1","24V","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP10","1","5VOUT","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"TP11","1","GND","","","","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"U1","1","TMC2208","","","","MACK10:TMC2208_STEPSTICK",""
"U2","1","HX711","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://web.archive.org/web/20220615044707/https://akizukidenshi.com/download/ds/avia/hx711.pdf"
"U3","1","XIAO-C6","","","","XIAO-SEEDSTUDIO:XIAO-ESP32-C6-SMD",""
"U4","1","INA226","","","","MACK10:INA226",""
"U5","1","PCF8575","","","","MACK10:PCF8575",""
"U6","1","MINI360","","","","Mini360:Mini360_step-down",""
